Date,SiteID,value
2019-09-13,BWCC,0.0
2019-09-13,AFRD2,0.0
2019-09-13,TFCC,0.0
2019-09-13,SWID,0.0
2019-09-13,NSCC,0.0
2019-09-14,RCC,0.0
2019-09-14,SID,0.0
2019-09-14,BWCC,0.0
2019-09-14,AFRD2,0.0
2019-09-14,TFCC,0.0
2019-09-14,SWID,0.0
2019-09-14,NSCC,0.0
2019-09-15,RCC,0.0
2019-09-15,SID,0.0
2019-09-15,BWCC,0.0
2019-09-15,AFRD2,0.0
2019-09-15,TFCC,0.0
2019-09-15,SWID,0.0
2019-09-15,NSCC,0.0
2019-09-16,RCC,0.0
2019-09-16,SID,0.0
2019-09-16,BWCC,0.0
2019-09-16,AFRD2,0.0
2019-09-16,TFCC,0.0
2019-09-16,SWID,0.0
2019-09-16,NSCC,0.0
2019-09-17,RCC,0.0
2019-09-17,SID,0.0
2019-09-17,BWCC,0.0
2019-09-17,AFRD2,0.0
2019-09-17,TFCC,0.0
2019-09-17,SWID,0.0
2019-09-17,NSCC,0.0
2019-09-18,RCC,0.0
2019-09-18,SID,0.0
2019-09-18,BWCC,0.0
2019-09-18,AFRD2,0.0
2019-09-18,TFCC,0.0
2019-09-18,SWID,0.0
2019-09-18,NSCC,0.0
2019-09-19,RCC,0.0
2019-09-19,SID,0.0
2019-09-19,BWCC,0.0
2019-09-19,AFRD2,0.0
2019-09-19,TFCC,0.0
2019-09-19,SWID,0.0
2019-09-19,NSCC,0.0
2019-09-20,RCC,0.0
2019-09-20,SID,0.0
2019-09-20,BWCC,0.0
2019-09-20,AFRD2,0.0
2019-09-20,TFCC,0.0
2019-09-20,SWID,0.0
2019-09-20,NSCC,0.0
2019-09-21,RCC,0.0
2019-09-21,SID,0.0
2019-09-21,BWCC,0.0
2019-09-21,AFRD2,0.0
2019-09-21,TFCC,0.0
2019-09-21,SWID,0.0
2019-09-21,NSCC,0.0
2019-09-22,RCC,0.0
2019-09-22,SID,0.0
2019-09-22,BWCC,0.0
2019-09-22,AFRD2,0.0
2019-09-22,TFCC,0.0
2019-09-22,SWID,0.0
2019-09-22,NSCC,0.0
2019-09-23,RCC,0.0
2019-09-23,SID,0.0
2019-09-23,BWCC,0.0
2019-09-23,AFRD2,0.0
2019-09-23,TFCC,0.0
2019-09-23,SWID,0.0
2019-09-23,NSCC,0.0
2019-09-24,RCC,0.0
2019-09-24,SID,0.0
2019-09-24,BWCC,0.0
2019-09-24,AFRD2,0.0
2019-09-24,TFCC,0.0
2019-09-24,SWID,0.0
2019-09-24,NSCC,0.0
2019-09-25,RCC,0.0
2019-09-25,SID,0.0
2019-09-25,BWCC,0.0
2019-09-25,AFRD2,0.0
2019-09-25,TFCC,0.0
2019-09-25,SWID,0.0
2019-09-25,NSCC,0.0
